"city","hwy","cyl","disp","drive","make","model","trans","year"
41,36,4,2.5,"Front-Wheel Drive","Mercury","Milan Hybrid FWD","Automatic",2010
23,34,4,2.5,"Front-Wheel Drive","Mercury","Milan S","Automatic",2010
22,31,4,2.5,"Front-Wheel Drive","Mercury","Milan S","Manual",2010
17,24,6,3.5,"All-Wheel Drive","Lincoln","MKZ AWD","Automatic",2010
18,27,6,3.5,"Front-Wheel Drive","Lincoln","MKZ FWD","Automatic",2010
18,25,4,2.3,"Front-Wheel Drive","Mazda","Speed 3","Manual",2010
22,33,4,2.5,"Front-Wheel Drive","Toyota","Camry","Manual",2010
22,32,4,2.5,"Front-Wheel Drive","Toyota","Camry","Automatic",2010
19,28,6,3.5,"Front-Wheel Drive","Toyota","Camry","Automatic",2010
33,34,4,2.4,"Front-Wheel Drive","Toyota","Camry Hybrid","Automatic",2010
51,48,4,1.8,"Front-Wheel Drive","Toyota","Prius","Automatic",2010
16,23,8,4.2,"All-Wheel Drive","Audi","A8 L","Automatic",2010
17,29,6,3.6,"Rear-Wheel Drive","Chevrolet","Camaro","Manual",2010
18,29,6,3.6,"Rear-Wheel Drive","Chevrolet","Camaro","Automatic",2010
16,24,8,6.2,"Rear-Wheel Drive","Chevrolet","Camaro","Manual",2010
16,25,8,6.2,"Rear-Wheel Drive","Chevrolet","Camaro","Automatic",2010
22,32,4,2.4,"Front-Wheel Drive","Hyundai","Sonata","Automatic",2010
21,32,4,2.4,"Front-Wheel Drive","Hyundai","Sonata","Manual",2010
19,29,6,3.3,"Front-Wheel Drive","Hyundai","Sonata","Automatic",2010
16,23,6,3.5,"All-Wheel Drive","Lincoln","MKS AWD","Automatic",2010
17,24,6,3.5,"Front-Wheel Drive","Lincoln","MKS FWD","Automatic",2010
18,26,6,3.6,"Rear-Wheel Drive","Cadillac","CTS Wagon","Automatic",2010
18,26,6,3.6,"All-Wheel Drive","Cadillac","CTS Wagon AWD","Automatic",2010
26,31,4,1.6,"Front-Wheel Drive","Kia","Soul","Automatic",2010
26,31,4,1.6,"Front-Wheel Drive","Kia","Soul","Manual",2010
24,30,4,2,"Front-Wheel Drive","Kia","Soul","Automatic",2010
24,30,4,2,"Front-Wheel Drive","Kia","Soul","Manual",2010
26,31,4,1.8,"Front-Wheel Drive","Pontiac","Vibe","Automatic",2010
26,32,4,1.8,"Front-Wheel Drive","Pontiac","Vibe","Manual",2010
20,26,4,2.4,"All-Wheel Drive","Pontiac","Vibe","Automatic",2010
21,28,4,2.4,"Front-Wheel Drive","Pontiac","Vibe","Manual",2010
21,29,4,2.4,"Front-Wheel Drive","Pontiac","Vibe","Automatic",2010
25,31,4,1.8,"Front-Wheel Drive","Toyota","Matrix","Automatic",2010
26,32,4,1.8,"Front-Wheel Drive","Toyota","Matrix","Manual",2010
20,26,4,2.4,"All-Wheel Drive","Toyota","Matrix","Automatic",2010
21,28,4,2.4,"Front-Wheel Drive","Toyota","Matrix","Manual",2010
21,29,4,2.4,"Front-Wheel Drive","Toyota","Matrix","Automatic",2010
22,28,4,2.4,"Front-Wheel Drive","Scion","xB","Manual",2010
22,28,4,2.4,"Front-Wheel Drive","Scion","xB","Automatic",2010
16,23,6,3,"All-Wheel Drive","BMW","535i Sport Wagon xDrive","Manual",2010
16,24,6,3,"All-Wheel Drive","BMW","535i Sport Wagon xDrive","Automatic",2010
15,19,6,4,"Rear-Wheel Drive","Toyota","Tundra 2WD","Automatic",2010
15,20,8,4.6,"Rear-Wheel Drive","Toyota","Tundra 2WD","Automatic",2010
14,18,8,5.7,"Rear-Wheel Drive","Toyota","Tundra 2WD","Automatic",2010
14,19,8,4.6,"Part-time 4-Wheel Drive","Toyota","Tundra 4WD","Automatic",2010
13,17,8,5.7,"Part-time 4-Wheel Drive","Toyota","Tundra 4WD","Automatic",2010
13,17,8,5.7,"Part-time 4-Wheel Drive","Toyota","Tundra 4WD FFV","Automatic",2010
22,25,4,2,"Front-Wheel Drive","Ford","Transit Connect","Automatic",2010
17,23,6,3.5,"Front-Wheel Drive","Toyota","Sienna 2WD","Automatic",2010
16,21,6,3.5,"All-Wheel Drive","Toyota","Sienna 4WD","Automatic",2010
17,24,6,3.6,"Front-Wheel Drive","Buick","Enclave FWD","Automatic",2010
22,32,4,2.4,"Front-Wheel Drive","Chevrolet","Equinox FWD","Automatic",2010
17,24,6,3.6,"Front-Wheel Drive","Chevrolet","Traverse FWD","Automatic",2010
17,24,6,3.6,"Front-Wheel Drive","GMC","Acadia FWD","Automatic",2010
22,32,4,2.4,"Front-Wheel Drive","GMC","Terrain FWD","Automatic",2010
17,21,6,3.8,"Rear-Wheel Drive","Kia","Borrego 2WD","Automatic",2010
15,22,8,4.6,"Rear-Wheel Drive","Kia","Borrego 2WD","Automatic",2010
18,25,6,3.5,"Front-Wheel Drive","Lexus","RX 350 2WD","Automatic",2010
32,28,6,3.5,"Front-Wheel Drive","Lexus","RX 450h","Automatic",2010
18,25,4,2.3,"Front-Wheel Drive","Mazda","CX-7 2WD","Automatic",2010
12,18,8,5.6,"Rear-Wheel Drive","Nissan","Armada 2WD","Automatic",2010
12,18,8,5.6,"Rear-Wheel Drive","Nissan","Armada 2WD FFV","Automatic",2010
17,24,6,3.6,"Front-Wheel Drive","Saturn","Outlook FWD","Automatic",2010
14,19,8,4.6,"Rear-Wheel Drive","Toyota","Sequoia 2WD","Automatic",2010
14,19,8,5.7,"Rear-Wheel Drive","Toyota","Sequoia 2WD","Automatic",2010
13,18,8,4.2,"All-Wheel Drive","Audi","Q7","Automatic",2010
16,22,6,3.6,"All-Wheel Drive","Buick","Enclave AWD","Automatic",2010
20,29,4,2.4,"All-Wheel Drive","Chevrolet","Equinox AWD","Automatic",2010
16,23,6,3.6,"All-Wheel Drive","Chevrolet","Traverse AWD","Automatic",2010
16,23,6,3.6,"All-Wheel Drive","GMC","Acadia AWD","Automatic",2010
20,29,4,2.4,"All-Wheel Drive","GMC","Terrain AWD","Automatic",2010
16,21,6,3.8,"4-Wheel Drive","Kia","Borrego 4WD","Automatic",2010
15,20,8,4.6,"4-Wheel Drive","Kia","Borrego 4WD","Automatic",2010
15,22,6,3.2,"4-Wheel Drive","Land Rover","LR2","Automatic",2010
12,17,8,5,"4-Wheel Drive","Land Rover","LR4","Automatic",2010
12,18,8,5,"4-Wheel Drive","Land Rover","Range Rover","Automatic",2010
12,18,8,5,"4-Wheel Drive","Land Rover","Range Rover","Automatic",2010
12,17,8,5,"4-Wheel Drive","Land Rover","Range Rover Sport","Automatic",2010
18,24,6,3.5,"All-Wheel Drive","Lexus","RX 350 AWD","Automatic",2010
30,28,6,3.5,"All-Wheel Drive","Lexus","RX 450h AWD","Automatic",2010
17,23,4,2.3,"4-Wheel Drive","Mazda","CX-7 4WD","Automatic",2010
12,18,8,5.6,"4-Wheel Drive","Nissan","Armada 4WD","Automatic",2010
12,18,8,5.6,"4-Wheel Drive","Nissan","Armada 4WD FFV","Automatic",2010
14,20,6,3.6,"All-Wheel Drive","Porsche","Cayenne","Automatic",2010
14,20,6,3.6,"All-Wheel Drive","Porsche","Cayenne","Manual",2010
13,18,8,4.8,"All-Wheel Drive","Porsche","Cayenne GTS","Automatic",2010
11,17,8,4.8,"All-Wheel Drive","Porsche","Cayenne GTS","Manual",2010
13,19,8,4.8,"All-Wheel Drive","Porsche","Cayenne S","Automatic",2010
11,17,8,4.8,"All-Wheel Drive","Porsche","Cayenne TransSiberia","Manual",2010
12,19,8,4.8,"All-Wheel Drive","Porsche","Cayenne Turbo","Automatic",2010
12,19,8,4.8,"All-Wheel Drive","Porsche","Cayenne Turbo Kit","Automatic",2010
12,19,8,4.8,"All-Wheel Drive","Porsche","Cayenne Turbo S","Automatic",2010
16,23,6,3.6,"All-Wheel Drive","Saturn","Outlook AWD","Automatic",2010
20,26,4,2.5,"All-Wheel Drive","Subaru","Forester AWD","Automatic",2010
19,24,4,2.5,"All-Wheel Drive","Subaru","Forester AWD","Automatic",2010
20,27,4,2.5,"All-Wheel Drive","Subaru","Forester AWD","Manual",2010
13,18,8,4.6,"Part-time 4-Wheel Drive","Toyota","Sequoia 4WD","Automatic",2010
13,18,8,5.7,"Part-time 4-Wheel Drive","Toyota","Sequoia 4WD","Automatic",2010
13,18,8,5.7,"Part-time 4-Wheel Drive","Toyota","Sequoia 4WD FFV","Automatic",2010
16,21,6,3,"All-Wheel Drive","Volvo","XC60 AWD","Automatic",2010
12,20,10,5.2,"All-Wheel Drive","Audi","R8","Manual",2010
13,20,10,5.2,"All-Wheel Drive","Audi","R8","Automatic",2010
12,19,8,4.2,"All-Wheel Drive","Audi","R8","Manual",2010
13,18,8,4.2,"All-Wheel Drive","Audi","R8","Automatic",2010
21,29,4,2,"All-Wheel Drive","Audi","TT Roadster quattro","Automatic",2010
15,24,8,7,"Rear-Wheel Drive","Chevrolet","Corvette","Manual",2010
16,26,8,6.2,"Rear-Wheel Drive","Chevrolet","Corvette","Manual",2010
14,20,8,6.2,"Rear-Wheel Drive","Chevrolet","Corvette","Manual",2010
15,25,8,6.2,"Rear-Wheel Drive","Chevrolet","Corvette","Automatic",2010
12,20,10,5.2,"All-Wheel Drive","Lamborghini","Gallardo Coupe","Manual",2010
14,20,10,5.2,"All-Wheel Drive","Lamborghini","Gallardo Coupe","Automatic",2010
12,20,10,5.2,"All-Wheel Drive","Lamborghini","Gallardo Spyder","Manual",2010
13,20,10,5.2,"All-Wheel Drive","Lamborghini","Gallardo Spyder","Automatic",2010
8,13,12,6.5,"All-Wheel Drive","Lamborghini","Murcielago","Manual",2010
9,14,12,6.5,"All-Wheel Drive","Lamborghini","Murcielago","Automatic",2010
8,13,12,6.5,"All-Wheel Drive","Lamborghini","Murcielago Roadster","Manual",2010
9,14,12,6.5,"All-Wheel Drive","Lamborghini","Murcielago Roadster","Automatic",2010
22,28,4,2,"Rear-Wheel Drive","Mazda","MX-5","Manual",2010
21,28,4,2,"Rear-Wheel Drive","Mazda","MX-5","Manual",2010
21,28,4,2,"Rear-Wheel Drive","Mazda","MX-5","Automatic",2010
13,19,8,4.3,"Rear-Wheel Drive","Ferrari","California","Automatic",2010
16,24,6,3.8,"Front-Wheel Drive","Mitsubishi","Eclipse Spyder","Automatic",2010
19,26,4,2.4,"Front-Wheel Drive","Mitsubishi","Eclipse Spyder","Automatic",2010
23,30,4,2,"Front-Wheel Drive","Audi","A5 Cabriolet","Automatic",2010
20,26,4,2,"All-Wheel Drive","Audi","A5 Cabriolet quattro","Automatic",2010
22,30,4,2,"All-Wheel Drive","Audi","A5 quattro","Manual",2010
21,27,4,2,"All-Wheel Drive","Audi","A5 quattro","Automatic",2010
17,26,6,3,"All-Wheel Drive","Audi","S5 Cabriolet","Automatic",2010
21,29,4,2,"All-Wheel Drive","Audi","TT Coupe quattro","Automatic",2010
10,17,12,6,"All-Wheel Drive","Bentley","Continental GTC","Automatic",2010
25,34,4,1.6,"Front-Wheel Drive","Chevrolet","Aveo 5","Automatic",2010
27,35,4,1.6,"Front-Wheel Drive","Chevrolet","Aveo 5","Manual",2010
24,33,4,2.2,"Front-Wheel Drive","Chevrolet","Cobalt Coupe","Automatic",2010
25,35,4,2.2,"Front-Wheel Drive","Chevrolet","Cobalt Coupe","Manual",2010
22,30,4,2,"Front-Wheel Drive","Chevrolet","Cobalt SS Coupe","Manual",2010
25,37,4,2.2,"Front-Wheel Drive","Chevrolet","Cobalt XFE Coupe","Manual",2010
16,22,2,1.3,"Rear-Wheel Drive","Mazda","RX-8","Manual",2010
16,23,2,1.3,"Rear-Wheel Drive","Mazda","RX-8","Automatic",2010
16,25,6,3.8,"Front-Wheel Drive","Mitsubishi","Eclipse","Manual",2010
20,28,4,2.4,"Front-Wheel Drive","Mitsubishi","Eclipse","Manual",2010
16,24,6,3.8,"Front-Wheel Drive","Mitsubishi","Eclipse","Automatic",2010
20,27,4,2.4,"Front-Wheel Drive","Mitsubishi","Eclipse","Automatic",2010
24,33,4,2.2,"Front-Wheel Drive","Pontiac","G5","Automatic",2010
25,35,4,2.2,"Front-Wheel Drive","Pontiac","G5","Manual",2010
23,32,4,2.2,"Front-Wheel Drive","Pontiac","G5 GT","Automatic",2010
25,35,4,2.2,"Front-Wheel Drive","Pontiac","G5 GT","Manual",2010
25,37,4,2.2,"Front-Wheel Drive","Pontiac","G5 XFE","Manual",2010
21,31,4,2,"Front-Wheel Drive","Volkswagen","Eos","Manual",2010
20,28,5,2.5,"Front-Wheel Drive","Volvo","C70 FWD","Manual",2010
19,28,5,2.5,"Front-Wheel Drive","Volvo","C70 FWD","Automatic",2010
20,28,4,2.4,"Front-Wheel Drive","Acura","TSX","Manual",2010
21,30,4,2.4,"Front-Wheel Drive","Acura","TSX","Automatic",2010
18,27,6,3.5,"Front-Wheel Drive","Acura","TSX","Automatic",2010
23,30,4,2,"Front-Wheel Drive","Audi","A4","Automatic",2010
22,30,4,2,"All-Wheel Drive","Audi","A4 quattro","Manual",2010
21,27,4,2,"All-Wheel Drive","Audi","A4 quattro","Automatic",2010
18,28,6,3,"All-Wheel Drive","Audi","S4","Automatic",2010
18,27,6,3,"All-Wheel Drive","Audi","S4","Manual",2010
10,17,12,6,"All-Wheel Drive","Bentley","Continental GT","Automatic",2010
25,34,4,1.6,"Front-Wheel Drive","Chevrolet","Aveo","Automatic",2010
27,35,4,1.6,"Front-Wheel Drive","Chevrolet","Aveo","Manual",2010
24,33,4,2.2,"Front-Wheel Drive","Chevrolet","Cobalt Sedan","Automatic",2010
25,35,4,2.2,"Front-Wheel Drive","Chevrolet","Cobalt Sedan","Manual",2010
25,37,4,2.2,"Front-Wheel Drive","Chevrolet","Cobalt XFE Sedan","Manual",2010
16,25,8,5.7,"Rear-Wheel Drive","Dodge","Challenger","Automatic",2010
14,22,8,6.1,"Rear-Wheel Drive","Dodge","Challenger","Manual",2010
15,24,8,5.7,"Rear-Wheel Drive","Dodge","Challenger","Manual",2010
35,34,4,2.4,"Front-Wheel Drive","Lexus","HS 250h","Automatic",2010
17,25,4,2,"All-Wheel Drive","Mitsubishi","Lancer","Automatic",2010
20,28,4,2.4,"Front-Wheel Drive","Mitsubishi","Lancer","Manual",2010
22,31,4,2,"Front-Wheel Drive","Mitsubishi","Lancer","Manual",2010
22,29,4,2.4,"Front-Wheel Drive","Mitsubishi","Lancer","Automatic",2010
23,30,4,2,"Front-Wheel Drive","Mitsubishi","Lancer","Automatic",2010
17,22,4,2,"All-Wheel Drive","Mitsubishi","Lancer Evolution","Automatic",2010
16,22,4,2,"All-Wheel Drive","Mitsubishi","Lancer Evolution","Manual",2010
11,18,12,6.7,"Rear-Wheel Drive","Rolls-Royce","Phantom Coupe","Automatic",2010
11,18,12,6.7,"Rear-Wheel Drive","Rolls-Royce","Phantom Drophead Coupe","Automatic",2010
19,24,4,2.5,"All-Wheel Drive","Subaru","Impreza AWD","Automatic",2010
20,27,4,2.5,"All-Wheel Drive","Subaru","Impreza AWD","Manual",2010
18,25,4,2.5,"All-Wheel Drive","Subaru","Impreza AWD","Manual",2010
20,26,4,2.5,"All-Wheel Drive","Subaru","Impreza AWD","Automatic",2010
23,33,4,2,"Front-Wheel Drive","Suzuki","SX4 Sedan","Manual",2010
25,32,4,2,"Front-Wheel Drive","Suzuki","SX4 Sedan","Automatic",2010
23,32,4,2,"Front-Wheel Drive","Suzuki","SX4 Sport","Manual",2010
23,30,4,2,"Front-Wheel Drive","Suzuki","SX4 Sport","Automatic",2010
22,30,5,2.5,"Front-Wheel Drive","Volkswagen","Golf","Manual",2010
23,30,5,2.5,"Front-Wheel Drive","Volkswagen","Golf","Automatic",2010
21,31,4,2,"Front-Wheel Drive","Volkswagen","GTI","Manual",2010
21,31,4,2,"Front-Wheel Drive","Volkswagen","Jetta","Manual",2010
22,30,5,2.5,"Front-Wheel Drive","Volkswagen","Jetta","Manual",2010
23,30,5,2.5,"Front-Wheel Drive","Volkswagen","Jetta","Automatic",2010
22,31,4,2,"Front-Wheel Drive","Volkswagen","CC","Automatic",2010
21,31,4,2,"Front-Wheel Drive","Volkswagen","CC","Manual",2010
21,29,5,2.5,"Front-Wheel Drive","Volvo","C30 FWD","Manual",2010
21,30,5,2.5,"Front-Wheel Drive","Volvo","C30 FWD","Automatic",2010
19,28,5,2.5,"All-Wheel Drive","Volvo","S40 AWD","Automatic",2010
21,30,5,2.5,"Front-Wheel Drive","Volvo","S40 FWD","Automatic",2010
20,31,5,2.4,"Front-Wheel Drive","Volvo","S40 FWD","Automatic",2010
16,22,6,3.7,"All-Wheel Drive","Acura","RL","Automatic",2010
18,26,6,3,"All-Wheel Drive","Audi","A6 quattro","Automatic",2010
14,19,10,5.2,"All-Wheel Drive","Audi","S6","Automatic",2010
10,17,12,6,"All-Wheel Drive","Bentley","Continental Flying Spur","Automatic",2010
14,19,8,6.2,"Rear-Wheel Drive","Cadillac","CTS-V","Manual",2010
12,18,8,6.2,"Rear-Wheel Drive","Cadillac","CTS-V","Automatic",2010
15,24,8,4.6,"Rear-Wheel Drive","Cadillac","STS","Automatic",2010
15,22,8,4.6,"All-Wheel Drive","Cadillac","STS AWD","Automatic",2010
18,29,6,3.5,"Front-Wheel Drive","Chevrolet","Malibu","Automatic",2010
19,29,6,3.5,"Front-Wheel Drive","Chevrolet","Malibu","Automatic",2010
22,33,4,2.4,"Front-Wheel Drive","Chevrolet","Malibu","Automatic",2010
17,26,6,3.6,"Front-Wheel Drive","Chevrolet","Malibu","Automatic",2010
22,33,4,2.4,"Front-Wheel Drive","Chevrolet","Malibu","Automatic",2010
22,30,4,2.4,"Front-Wheel Drive","Chevrolet","Malibu","Automatic",2010
22,30,4,2.4,"Front-Wheel Drive","Chevrolet","Malibu","Automatic",2010
26,34,4,2.4,"Front-Wheel Drive","Chevrolet","Malibu Hybrid","Automatic",2010
22,32,4,2.4,"Front-Wheel Drive","Kia","Optima","Manual",2010
20,28,6,2.7,"Front-Wheel Drive","Kia","Optima","Automatic",2010
22,32,4,2.4,"Front-Wheel Drive","Kia","Optima","Automatic",2010
20,29,4,2.5,"Front-Wheel Drive","Mazda","6","Manual",2010
17,25,6,3.7,"Front-Wheel Drive","Mazda","6","Automatic",2010
21,30,4,2.5,"Front-Wheel Drive","Mazda","6","Automatic",2010
11,18,12,6.7,"Rear-Wheel Drive","Rolls-Royce","Phantom","Automatic",2010
22,33,4,2.4,"Front-Wheel Drive","Saturn","Aura","Automatic",2010
22,33,4,2.4,"Front-Wheel Drive","Saturn","Aura","Automatic",2010
17,26,6,3.6,"Front-Wheel Drive","Saturn","Aura","Automatic",2010
19,27,4,2.5,"All-Wheel Drive","Subaru","Legacy AWD","Manual",2010
18,25,6,3.6,"All-Wheel Drive","Subaru","Legacy AWD","Automatic",2010
18,25,4,2.5,"All-Wheel Drive","Subaru","Legacy AWD","Manual",2010
23,31,4,2.5,"All-Wheel Drive","Subaru","Legacy AWD","Automatic",2010
22,31,4,2,"Front-Wheel Drive","Volkswagen","Passat","Automatic",2010
15,22,8,4.4,"All-Wheel Drive","Volvo","S80 AWD","Automatic",2010
16,24,6,3,"All-Wheel Drive","Volvo","S80 AWD","Automatic",2010
18,27,6,3.2,"Front-Wheel Drive","Volvo","S80 FWD","Automatic",2010
15,22,8,4.6,"Front-Wheel Drive","Buick","Lucerne","Automatic",2010
17,26,6,3.9,"Front-Wheel Drive","Buick","Lucerne","Automatic",2010
17,26,6,3.9,"Front-Wheel Drive","Buick","Lucerne","Automatic",2010
15,22,8,4.6,"Front-Wheel Drive","Cadillac","DTS","Automatic",2010
15,23,8,4.6,"Front-Wheel Drive","Cadillac","DTS","Automatic",2010
12,16,8,4.6,"Front-Wheel Drive","Cadillac","Funeral Coach / Hearse","Automatic",2010
12,18,8,4.6,"Front-Wheel Drive","Cadillac","Limousine","Automatic",2010
17,27,6,3.9,"Front-Wheel Drive","Chevrolet","Impala","Automatic",2010
18,29,6,3.5,"Front-Wheel Drive","Chevrolet","Impala","Automatic",2010
18,29,6,3.5,"Front-Wheel Drive","Chevrolet","Impala","Automatic",2010
16,23,8,5.7,"All-Wheel Drive","Chrysler","300 AWD","Automatic",2010
16,25,8,5.7,"Rear-Wheel Drive","Chrysler","300/SRT-8","Automatic",2010
16,25,8,5.7,"Rear-Wheel Drive","Dodge","Charger","Automatic",2010
13,19,8,6.1,"Rear-Wheel Drive","Dodge","Charger","Automatic",2010
16,23,8,5.7,"All-Wheel Drive","Dodge","Charger AWD","Automatic",2010
17,25,6,3.5,"All-Wheel Drive","Ford","Taurus AWD","Automatic",2010
17,25,6,3.5,"4-Wheel Drive","Ford","Taurus AWD","Automatic",2010
18,28,6,3.5,"Front-Wheel Drive","Ford","Taurus FWD","Automatic",2010
18,27,6,3.5,"Front-Wheel Drive","Ford","Taurus FWD","Automatic",2010
18,26,6,3.3,"Front-Wheel Drive","Hyundai","Azera","Automatic",2010
